Wavelength,Average,Red,Green,Blue
920.7,0,0,0,0
921.3,0,0,0,0
921.8,0,0,0,0
922.3,0,0,0,0
922.9,0,0,0,0
923.4,0,0,0,0
924,0,0,0,0
924.5,0,0,0,0
925,0,0,0,0
925.6,0,0,0,0
926.1,0,0,0,0
926.7,0,0,0,0
927.2,0,0,0,0
927.7,0,0,0,0
928.3,0,0,0,0
928.8,0,0,0,0
929.4,0,0,0,0
929.9,0,0,0,0
930.4,0,0,0,0
931,0,0,0,0
931.5,0,0,0,0
932.1,0,0,0,0
932.6,0,0,0,0
933.1,0,0,0,0
933.7,0,0,0,0
934.2,0,0,0,0
934.8,0,0,0,0
935.3,0,0,0,0
935.8,0,0,0,0
936.4,0,0,0,0
936.9,0,0,0,0
937.5,0,0,0,0
938,0,0,0,0
938.5,0,0,0,0
939.1,0,0,0,0
939.6,0,0,0,0
940.1,0,0,0,0
940.7,0,0,0,0
941.2,0,0,0,0
941.8,0,0,0,0
942.3,0,0,0,0
942.8,0,0,0,0
943.4,0,0,0,0
943.9,0,0,0,0
944.5,0,0,0,0
945,0,0,0,0
945.5,0,0,0,0
946.1,0,0,0,0
946.6,0,0,0,0
947.2,0,0,0,0
947.7,0,0,0,0
948.2,0,0,0,0
948.8,0,0,0,0
949.3,0,0,0,0
949.9,0,0,0,0
950.4,0,0,0,0
950.9,0,0,0,0
951.5,0,0,0,0
952,0,0,0,0
952.6,0,0,0,0
953.1,0,0,0,0
953.6,0,0,0,0
954.2,0,0,0,0
954.7,0,0,0,0
955.3,0,0,0,0
955.8,0,0,0,0
956.3,0,0,0,0
956.9,0,0,0,0
957.4,0,0,0,0
958,0,0,0,0
958.5,0,0,0,0
959,0,0,0,0
959.6,0,0,0,0
960.1,0,0,0,0
960.7,0,0,0,0
961.2,0,0,0,0
961.7,0,0,0,0
962.3,0,0,0,0
962.8,0,0,0,0
963.4,0,0,0,0
963.9,0,0,0,0
964.4,0,0,0,0
965,0,0,0,0
965.5,0,0,0,0
966.1,0,0,0,0
966.6,0,0,0,0
967.1,0,0,0,0
967.7,0,0,0,0
968.2,0,0,0,0
968.8,0,0,0,0
969.3,0,0,0,0
969.8,0,0,0,0
970.4,0,0,0,0
970.9,0,0,0,0
971.5,0,0,0,0
972,0,0,0,0
972.5,0,0,0,0
973.1,0,0,0,0
973.6,0,0,0,0
974.2,0,0,0,0
974.7,0,0,0,0
975.2,0,0,0,0
975.8,0,0,0,0
976.3,0,0,0,0
976.9,0,0,0,0
977.4,0,0,0,0
977.9,0,0,0,0
978.5,0,0,0,0
979,0,0,0,0
979.6,0,0,0,0
980.1,0,0,0,0
980.6,0,0,0,0
981.2,0,0,0,0
981.7,0,0,0,0
982.3,0,0,0,0
982.8,0,0,0,0
983.3,0,0,0,0
983.9,0,0,0,0
984.4,0,0,0,0
985,0,0,0,0
985.5,0,0,0,0
986,0,0,0,0
986.6,0,0,0,0
987.1,0,0,0,0
987.7,0,0,0,0
988.2,0,0,0,0
988.7,0,0,0,0
989.3,0,0,0,0
989.8,0,0,0,0
990.4,0,0,0,0
990.9,0,0,0,0
991.4,0,0,0,0
992,0,0,0,0
992.5,0,0,0,0
993.1,0,0,0,0
993.6,0,0,0,0
994.1,0,0,0,0
994.7,0,0,0,0
995.2,0,0,0,0
995.8,0,0,0,0
996.3,0,0,0,0
996.8,0,0,0,0
997.4,0,0,0,0
997.9,0,0,0,0
998.5,0,0,0,0
999,0,0,0,0
999.5,0,0,0,0
1000,0,0,0,0
1001,0,0,0,0
1001,0,0,0,0
1002,0,0,0,0
1002,0,0,0,0
1003,0,0,0,0
1003,0,0,0,0
1004,0,0,0,0
1004,0,0,0,0
1005,0,0,0,0
1005,0,0,0,0
1006,0,0,0,0
1007,0,0,0,0
1007,0,0,0,0
1008,0,0,0,0
1008,0,0,0,0
1009,0,0,0,0
1009,0,0,0,0
1010,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1011,0,0,0,0
1012,0,0,0,0
1013,0,0,0,0
1013,0,0,0,0
1014,0,0,0,0
1014,0,0,0,0
1015,0,0,0,0
1015,0,0,0,0
1016,0,0,0,0
1016,0,0,0,0
1017,0,0,0,0
1017,0,0,0,0
1018,0,0,0,0
1018,0,0,0,0
1019,0,0,0,0
1020,0,0,0,0
1020,0,0,0,0
1021,0,0,0,0
1021,0,0,0,0
1022,0,0,0,0
1022,0,0,0,0
1023,0,0,0,0
1023,0,0,0,0
1024,0,0,0,0
1024,0,0,0,0
1025,0,0,0,0
1025,0,0,0,0
1026,0,0,0,0
1027,0,0,0,0
1027,0,0,0,0
1028,0,0,0,0
1028,0,0,0,0
1029,0,0,0,0
1029,0,0,0,0
1030,0,0,0,0
1030,0,0,0,0
1031,0,0,0,0
1031,0,0,0,0
1032,0,0,0,0
1032,0,0,0,0
1033,0,0,0,0
1034,0,0,0,0
1034,0,0,0,0
1035,0,0,0,0
1035,0,0,0,0
1036,0,0,0,0
1036,0,0,0,0
1037,0,0,0,0
1037,0,0,0,0
1038,0,0,0,0
1038,0,0,0,0
1039,0,0,0,0
1040,0,0,0,0
1040,0,0,0,0
1041,0,0,0,0
1041,0,0,0,0
1042,0,0,0,0
1042,0,0,0,0
1043,0,0,0,0
1043,0,0,0,0
1044,0,0,0,0
1044,0,0,0,0
1045,0,0,0,0
1045,0,0,0,0
1046,0,0,0,0
1047,0,0,0,0
1047,0,0,0,0
1048,0,0,0,0
1048,0,0,0,0
1049,0,0,0,0
1049,0,0,0,0
1050,0,0,0,0
1050,0,0,0,0
1051,0,0,0,0
1051,0,0,0,0
1052,0,0,0,0
1052,0,0,0,0
1053,0,0,0,0
1054,0,0,0,0
1054,0,0,0,0
1055,0,0,0,0
1055,0,0,0,0
1056,0,0,0,0
1056,0,0,0,0
1057,0,0,0,0
1057,0,0,0,0
1058,0,0,0,0
1058,0,0,0,0
1059,0,0,0,0
1059,0,0,0,0
1060,0,0,0,0
1061,0,0,0,0
1061,0,0,0,0
1062,0,0,0,0
1062,0,0,0,0
1063,0,0,0,0
1063,0,0,0,0
1064,0,0,0,0
1064,0,0,0,0
1065,0,0,0,0
1065,0,0,0,0
1066,0,0,0,0
1067,0,0,0,0
1067,0,0,0,0
1068,0,0,0,0
1068,0,0,0,0
1069,0,0,0,0
1069,0,0,0,0
1070,0,0,0,0
1070,0,0,0,0
1071,0,0,0,0
1071,0,0,0,0
1072,0,0,0,0
1072,0,0,0,0
1073,0,0,0,0
1074,0,0,0,0
1074,0,0,0,0
1075,0,0,0,0
1075,0,0,0,0
1076,0,0,0,0
1076,0,0,0,0
1077,0,0,0,0
1077,0,0,0,0
1078,0,0,0,0
1078,0,0,0,0
1079,0,0,0,0
1079,0,0,0,0
1080,0,0,0,0
1081,0,0,0,0
1081,0,0,0,0
1082,0,0,0,0
1082,0,0,0,0
1083,0,0,0,0
1083,0,0,0,0
1084,0,0,0,0
1084,0,0,0,0
1085,0,0,0,0
1085,0,0,0,0
1086,0,0,0,0
1086,0,0,0,0
1087,0,0,0,0
1088,0,0,0,0
1088,0,0,0,0
1089,0,0,0,0
1089,0,0,0,0
1090,0,0,0,0
1090,0,0,0,0
1091,0,0,0,0
1091,0,0,0,0
1092,0,0,0,0
1092,0,0,0,0
1093,0,0,0,0
1094,0,0,0,0
1094,0,0,0,0
1095,0,0,0,0
1095,0,0,0,0
1096,0,0,0,0
1096,0,0,0,0
1097,0,0,0,0
1097,0,0,0,0
1098,0,0,0,0
1098,0,0,0,0
1099,0,0,0,0
1099,0,0,0,0
1100,0,0,0,0
1101,0,0,0,0
1101,0,0,0,0
1102,0,0,0,0
1102,0,0,0,0
1103,0,0,0,0
1103,0,0,0,0
1104,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1106,0,0,0,0
1107,0,0,0,0
1108,0,0,0,0
1108,0,0,0,0
1109,0,0,0,0
1109,0,0,0,0
1110,0,0,0,0
1110,0,0,0,0
1111,0,0,0,0
1111,0,0,0,0
1112,0,0,0,0
1112,0,0,0,0
1113,0,0,0,0
1113,0,0,0,0
1114,0,0,0,0
1115,0,0,0,0
